name,type,tier,tier_name,count,k_median,par_median,female
Marymount California University,2.0,8,Nonselective four-year private not-for-profit,110.0,31300,104900,0.5090909
Master's College & Seminary ,2.0,6,Selective private,213.66666666666669,30700,87700,0.56162244
Mendocino College,1.0,9,Two-year (public and private not-for-profit),482.0,21400,51900,0.5
Merced Community College,1.0,9,Two-year (public and private not-for-profit),1336.333333333333,25400,48400,0.53629333
"Milan Institute of Palm Desert, CA",3.0,12,Less than two-year schools of any type,242.0,19000,35800,0.88636363
Mills College,2.0,6,Selective private,115.0,40200,79100,0.99130434
Miracosta College,1.0,9,Two-year (public and private not-for-profit),1413.333333333333,26500,71200,0.52759433
Monterey Peninsula College,1.0,9,Two-year (public and private not-for-profit),722.3333333333335,27200,66100,0.5034609999999999
Mount San Antonio College,1.0,9,Two-year (public and private not-for-profit),4660.0,30800,62800,0.48977109999999996
Mount St. Mary's College,2.0,6,Selective private,222.33333333333331,44900,48500,0.9880059999999999
Mt. San Jacinto College,1.0,9,Two-year (public and private not-for-profit),1448.0,25100,71000,0.53867406
Musicians Institute,3.0,10,Four-year for-profit,170.5,15500,77400,0.18768328
Napa Valley College,1.0,9,Two-year (public and private not-for-profit),837.0,33700,75000,0.55396259
Occidental College,2.0,2,Other elite schools (public and private),380.0,49000,122400,0.58859646
Ohlone College,1.0,9,Two-year (public and private not-for-profit),1059.333333333333,38500,91100,0.49213341
Otis College Of Art & Design,2.0,8,Nonselective four-year private not-for-profit,124.0,47600,80500,0.71774191
Pacific Union College,2.0,6,Selective private,233.0,50700,96400,0.53648067
Palomar College,1.0,9,Two-year (public and private not-for-profit),3595.333333333334,31500,73500,0.45484889
Pasadena City College,1.0,9,Two-year (public and private not-for-profit),3321.333333333334,29500,44600,0.49638699999999997
"Paul Mitchell The School of Costa Mesa, CA",3.0,12,Less than two-year schools of any type,227.0,10300,85200,0.92290747
Pepperdine University,2.0,4,Highly selective private,569.3333333333334,55800,124100,0.5942623
Pitzer College,2.0,4,Highly selective private,192.0,43500,131900,0.61979169
"Platt College of Alhambra, CA",3.0,10,Four-year for-profit,99.66666666666669,24500,48500,0.36789298
Point Loma Nazarene University,2.0,6,Selective private,501.66666666666674,45900,113300,0.59933555
Pomona College,2.0,2,Other elite schools (public and private),369.33333333333326,62000,161600,0.49638990000000005
Rancho Santiago Community College District,1.0,9,Two-year (public and private not-for-profit),2269.333333333334,33700,63600,0.46768507
Rio Hondo Community College,1.0,9,Two-year (public and private not-for-profit),1545.333333333333,32400,46500,0.47260571
Riverside Community College District,1.0,9,Two-year (public and private not-for-profit),3868.333333333334,28800,70800,0.52399826
Saddleback College,1.0,9,Two-year (public and private not-for-profit),2124.666666666667,31100,100600,0.46219015
Saint Mary's College Of California,2.0,6,Selective private,509.66666666666674,55200,110500,0.60431653
San Bernardino Community College District,1.0,9,Two-year (public and private not-for-profit),2298.666666666667,25900,55000,0.51609629
San Diego Community College District,1.0,9,Two-year (public and private not-for-profit),4152.666666666667,30900,63200,0.49277574
San Diego State University,1.0,5,Selective public,3196.333333333334,51000,100500,0.58817393
San Francisco Community College District,1.0,9,Two-year (public and private not-for-profit),2076.333333333334,33000,53400,0.48466849
San Francisco State University,1.0,5,Selective public,1854.666666666667,45800,87200,0.61682242
San Joaquin Delta College,1.0,9,Two-year (public and private not-for-profit),2258.666666666667,30700,66300,0.51948053
San Joaquin Valley College,3.0,11,Two-year for-profit,536.5,21500,36000,0.74464118
San Jose State University,1.0,5,Selective public,2182.333333333334,56500,91700,0.50756073
San Jose-Evergreen Community College District,1.0,9,Two-year (public and private not-for-profit),1523.0,31900,67900,0.51400745
San Mateo County Community College District,1.0,9,Two-year (public and private not-for-profit),2601.666666666667,37800,77000,0.47713006
Santa Barbara Business College,3.0,10,Four-year for-profit,167.0,17100,39400,0.85329342
Santa Barbara City College,1.0,9,Two-year (public and private not-for-profit),1827.0,31400,86100,0.44645137
Santa Clara University,2.0,4,Highly selective private,989.6666666666665,72500,149900,0.55001682
Santa Monica College,1.0,9,Two-year (public and private not-for-profit),2886.666666666667,28800,51300,0.49364895
Santa Rosa Junior College,1.0,9,Two-year (public and private not-for-profit),2559.333333333334,31600,80900,0.49257618
Scripps College,2.0,2,Other elite schools (public and private),185.0,46400,126300,0.99459457
Sierra College,1.0,9,Two-year (public and private not-for-profit),2786.333333333334,30900,85900,0.48725924
Simpson University,2.0,6,Selective private,161.0,27800,72700,0.63975155
Solano Community College,1.0,9,Two-year (public and private not-for-profit),1518.333333333333,34300,84300,0.51152581
Sonoma State University,1.0,5,Selective public,907.6666666666665,46400,113700,0.65846491
Southwestern Community College District,1.0,9,Two-year (public and private not-for-profit),2576.5,28200,54200,0.49990296
Stanford University,2.0,1,Ivy Plus,1516.333333333333,84800,172600,0.50714445
State Center Community College District,1.0,9,Two-year (public and private not-for-profit),5160.0,25200,47600,0.50342375
Summit College,3.0,12,Less than two-year schools of any type,160.0,20800,39600,0.86250001
Taft College,1.0,9,Two-year (public and private not-for-profit),153.5,32300,62300,0.54723126
United Education Institute,3.0,11,Two-year for-profit,1165.0,19100,29600,0.74391991
"Universal Technical Institute of Rancho Cucamonga, CA",3.0,11,Two-year for-profit,2105.0,41300,62900,0.020585906
"University Of California, Berkeley",1.0,3,Highly selective public,4624.333333333333,67900,114700,0.53369856
"University Of California, Davis",1.0,5,Selective public,3996.0,61600,109400,0.58041376
"University Of California, Irvine",1.0,3,Highly selective public,3244.333333333334,60400,92100,0.52984691
"University Of California, Los Angeles",1.0,2,Other elite schools (public and private),4734.0,65800,105500,0.56020278
"University Of California, Riverside",1.0,5,Selective public,2364.333333333334,52800,75000,0.55040181
"University Of California, San Diego",1.0,3,Highly selective public,3264.666666666667,65300,111300,0.53971821
"University Of California, Santa Barbara",1.0,3,Highly selective public,3450.333333333334,58800,124000,0.56352043
"University Of California, Santa Cruz",1.0,5,Selective public,2341.666666666667,46100,115400,0.56711745
University Of La Verne,2.0,6,Selective private,285.3333333333333,48600,72300,0.63200933
University Of Redlands,2.0,6,Selective private,397.33333333333326,47700,108400,0.57885903
University Of San Diego,2.0,4,Highly selective private,894.0,61200,139300,0.64205819
University Of San Francisco,2.0,6,Selective private,606.3333333333334,56900,106900,0.66355139
University Of Southern California,2.0,2,Other elite schools (public and private),3052.666666666667,63700,120100,0.50873554
University Of The Pacific,2.0,6,Selective private,617.6666666666666,59000,96500,0.60280627
Vanguard University Of Southern California,2.0,6,Selective private,240.33333333333331,32900,83200,0.62135923
Ventura County Community College District,1.0,9,Two-year (public and private not-for-profit),4747.333333333333,30600,73700,0.49613819
Victor Valley Community College,1.0,9,Two-year (public and private not-for-profit),1378.666666666667,25200,62600,0.52441972
West Hills Community College District,1.0,9,Two-year (public and private not-for-profit),808.0,25600,46100,0.54146039
West Valley-Mission Community College District,1.0,9,Two-year (public and private not-for-profit),1567.333333333333,36700,91600,0.47596768
Westmont College,2.0,4,Highly selective private,296.6666666666667,47600,132100,0.65056181
Westwood College - Los Angeles,3.0,10,Four-year for-profit,412.5,26400,37800,0.39515153
Whittier College,2.0,6,Selective private,251.0,47900,98500,0.56440902
Woodbury University,2.0,6,Selective private,115.6666666666667,44300,61900,0.61095101
Yosemite Community College District,1.0,9,Two-year (public and private not-for-profit),2879.0,28900,66400,0.50827831
Yuba Community College District,1.0,9,Two-year (public and private not-for-profit),1240.666666666667,25400,48700,0.55292851
